age,job,marital,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
57,4,0,0,0,1,1,0,0,371,1,1,-1.8,92.893,-46.2,1.299,5099.1
55,9,0,1,1,0,0,0,3,285,2,0,1.1,93.994,-36.4,4.86,5191.0
33,3,0,0,0,0,1,0,4,52,1,1,-1.8,92.893,-46.2,1.313,5099.1
36,2,0,0,0,0,0,1,4,355,4,0,1.4,94.465,-41.8,4.967,5228.1
27,0,0,0,1,0,1,2,4,189,2,0,1.4,93.918,-42.7,4.963,5228.1
58,5,0,0,1,1,1,2,4,605,1,0,1.4,93.918,-42.7,4.962,5228.1
48,1,0,1,1,0,0,0,2,243,1,0,1.1,93.994,-36.4,4.856,5191.0
51,2,2,1,1,0,1,3,3,24,7,0,1.4,93.444,-36.1,4.962,5228.1
24,10,0,0,1,1,0,1,2,126,4,0,1.4,94.465,-41.8,4.962,5228.1
36,4,2,0,1,1,1,2,0,43,4,0,1.4,93.918,-42.7,4.962,5228.1
34,3,0,0,0,0,1,0,4,451,3,0,-1.8,92.893,-46.2,1.313,5099.1
42,3,1,0,1,0,1,0,3,560,3,0,-1.8,92.893,-46.2,1.327,5099.1
43,3,1,0,1,0,1,2,3,982,1,0,1.4,93.918,-42.7,4.963,5228.1
56,2,0,0,0,0,1,3,2,552,3,0,1.4,93.444,-36.1,4.964,5228.1
58,3,0,0,0,1,1,2,3,265,3,0,1.4,93.918,-42.7,4.962,5228.1
36,0,0,0,1,0,0,1,0,171,1,0,1.4,94.465,-41.8,4.865,5228.1
26,3,1,1,1,0,1,2,4,151,2,0,1.4,93.918,-42.7,4.963,5228.1
53,4,0,0,0,1,1,2,1,178,11,0,1.4,93.918,-42.7,4.961,5228.1
37,10,1,0,1,0,1,2,4,92,2,0,1.4,93.918,-42.7,4.957,5228.1
46,2,0,0,1,0,1,3,3,399,1,1,-2.9,92.201,-31.4,0.873,5076.2
59,5,0,1,0,0,1,2,4,1330,3,0,1.4,93.918,-42.7,4.962,5228.1
49,7,1,1,0,0,0,0,4,339,2,0,1.1,93.994,-36.4,4.855,5191.0
26,9,1,1,1,1,0,1,2,524,15,0,1.4,94.465,-41.8,4.864,5228.1
30,2,1,0,0,1,1,2,0,101,3,0,1.4,93.918,-42.7,4.96,5228.1
51,6,0,1,0,0,1,3,2,158,1,0,1.4,93.444,-36.1,4.965,5228.1
45,2,0,0,1,0,0,1,0,60,2,0,-2.9,92.963,-40.8,1.215,5076.2
30,4,1,0,1,0,1,0,2,9,12,0,-1.8,92.893,-46.2,1.281,5099.1
31,2,0,0,0,0,1,3,0,119,9,0,1.4,93.444,-36.1,4.965,5228.1
41,3,0,1,0,0,0,1,3,348,1,0,1.4,94.465,-41.8,4.866,5228.1
38,9,2,1,1,0,0,0,0,73,1,0,1.1,93.994,-36.4,4.857,5191.0
47,0,0,1,0,1,1,2,3,148,1,0,-2.9,92.469,-33.6,1.072,5076.2
69,10,0,0,0,0,1,1,2,140,2,0,-2.9,92.963,-40.8,1.26,5076.2
26,4,1,0,0,0,1,4,2,649,1,0,-1.1,94.601,-49.5,0.959,4963.6
41,8,2,0,0,0,1,2,4,911,2,0,1.4,93.918,-42.7,4.963,5228.1
36,3,1,0,1,0,0,1,2,835,1,0,1.4,94.465,-41.8,4.962,5228.1
31,1,1,0,0,0,0,1,2,49,2,0,1.4,94.465,-41.8,4.962,5228.1
33,2,1,0,1,0,1,3,3,289,1,0,1.4,93.444,-36.1,4.962,5228.1
